key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_000,可能是迪米特里厄斯所長使用過的移動終端和儲物柜。
1,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q1_000_000,要做什麼？
2,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_001,檢視移動終端
3,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A1_000_002,打開儲物柜
4,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_001,出現了新的可閱讀內容……
5,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_Q2_000_000,要閱讀什麼內容？
6,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_001,日報
7,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_002,關於研究所的留存計劃
8,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_003,取消
9,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_A2_000_004,關於利用備份的記憶造出永久人
10,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_002,(-某日的彙報內容-)無特殊情況。<hex:02100103>「鑰匙」的發動條件依然不明。
11,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_003,(-某日的彙報內容-)「鑰匙」突然失控，在很短的時間裡連線到了異世界。<hex:02100103>研究人員會繼續研究穩定觸發核心能量反應的方法。
12,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_004,(-某日的彙報內容-)13名研究人員的肉體在失控事故中受到了損傷，<hex:02100103>其中沒有波及到記憶儲存區域的4人已改造為永久人。<hex:02100103>剩餘9人轉送至生物以太循環工程。
13,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_005,(-某日的彙報內容-)無特殊情況。<hex:02100103>作廢兩名米拉拉族研究人員的辭呈。
14,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_006,(-某日的彙報內容-)發生特殊情況。<hex:02100103>詳細內容見事件報告。
15,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_007,(-檔案草稿-)無能的米拉拉族背叛了組織，偷走了「鑰匙」。<hex:02100103>我們進行了全面追查，肅清了那兩名叛徒，<hex:02100103>但沒來得及找回「鑰匙」。
16,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_008,(-檔案草稿-)我等以血肉之軀存活至今，<hex:02100103>就是爲了代替卡琉克斯大人的雙手，對「鑰匙」進行實驗。
17,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_009,(-檔案草稿-)沒有實驗對象，我們就沒有存在的意義。<hex:02100103>卡琉克斯大人一定會對我失望透頂。
18,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_010,(-檔案草稿-)留給我的路唯有一條。<hex:02100103>我決定關停研究所，將所有職員的肉體還原成以太，<hex:02100103>然後獻給卡琉克斯大人用作下一次實驗。
19,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_011,(-檔案草稿-)雖然打算回收記憶，<hex:02100103>但是否用其產生永久人會全部交由卡琉克斯大人進行判斷。<hex:02100103>如果他不再需要我們，我們也不期盼永久的生命。
20,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_012,(-研究所的留存計劃-)職員已經全部處理完畢。<hex:02100103>我也會在研究所徹底停運后獻出肉體。
21,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_013,(-研究所的留存計劃-)只要「鑰匙」還在物質界，<hex:02100103>這座研究所就有可能會重新啟動。<hex:02100103>就算沒有，卡琉克斯大人也可能會把這裡另作他用。
22,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_014,(-研究所的留存計劃-)爲了以備不時之需，所有裝置都將維持睡眠狀態。<hex:02100103>不過，考慮到這裡可能會有無關人員闖入，<hex:02100103>我把進入機密室所需的重要物品單獨取下，儲存在了別的地方。
23,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_015,打開柜門看看吧。<hex:02100103>或許能找到什麼線索。
24,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_016,……裡面並沒有什麼值得注意的東西。
25,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_020,(-備份記憶-)隨著永久人的研究逐漸完善，<hex:02100103>保全院和亞歷山德里亞王家做了一些規定。
26,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_021,(-備份記憶-)其中一條則是「不能複製任何記憶」。
27,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_022,(-備份記憶-)可是，在大戰結束后，<hex:02100103>取代了王室的臨時政府做了一個決定，<hex:02100103>就此誕生了一個例外。
28,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_023,(-備份記憶-)那就是斯菲因女王。<hex:02100103>我們在創造永久人斯菲因的同時，會為她戴上王冠，<hex:02100103>而這個王冠正是我們用來實時備份記憶用的裝置。
29,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_024,(-備份記憶-)不過，令人感到意外的是……<hex:02100103>卡琉克斯大人並不贊同這種做法。
30,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_025,(-備份記憶-)對卡琉克斯大人而言，<hex:02100103>無論是肉體還是永久人的身體，都只是容器而已……<hex:02100103>如果有必要，他甚至願意用自己的身體去做殘酷的實驗。
31,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_026,(-備份記憶-)但記憶卻是神聖且不可侵犯的。<hex:02100103>那是每個人獨一無二的象徵，也就是一個人的性命。
32,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_027,(-備份記憶-)最終，卡琉克斯大人還是聽從了政府的要求。<hex:02100103>保全院內部也有人以實驗為由，備份了自己的記憶。
33,TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_028,(-備份記憶-)不過，卡琉克斯大人並沒有責備那些人，<hex:02100103>而是始終堅持自己的想法，不備份自己的記憶……<hex:02100103>我也會遵循他的理念，放棄備份記憶。
