key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_KINGKW303_05504_SEQ_00,<hex:024804F201F603><hex:024904F201F703>特殊規則： 職業固定<hex:0249020103><hex:0248020103><hex:02100103>幻境村的利迪爾賽爾想要開始強化幻境武器。
1,TEXT_KINGKW303_05504_SEQ_01,※本任務為<hex:024804F201F603><hex:024904F201F703><hex:0249020103><hex:0248020103> 職業固定任務，<hex:02100103>　需要與接受任務時的職業相同才可繼續進行任務。<hex:02100103><hex:02100103>和利迪爾賽爾進行了交談。<hex:02100103>收集3個<hex:02280BFF05>Item<hex:F2C7210103>，並在攜帶幻境武器的狀態下，交給幻境村的多多庫利。<hex:02100103><hex:02100103>可以在幻境村的爾密娜處交換<hex:02280BFF05>Item<hex:F2C7210103>。
2,TEXT_KINGKW303_05504_SEQ_02,將<hex:02280BFF05>Item<hex:F2C7210103>交給了多多庫利。幻境菜刀切斷了幻影，幻境武器顯露出了真正的樣子。然而蓋羅爾特卻說，幻境武器還能再繼續強化。
3,TEXT_KINGKW303_05504_SEQ_03,
4,TEXT_KINGKW303_05504_SEQ_04,
5,TEXT_KINGKW303_05504_SEQ_05,
6,TEXT_KINGKW303_05504_SEQ_06,
7,TEXT_KINGKW303_05504_SEQ_07,
8,TEXT_KINGKW303_05504_SEQ_08,
9,TEXT_KINGKW303_05504_SEQ_09,
10,TEXT_KINGKW303_05504_SEQ_10,
11,TEXT_KINGKW303_05504_SEQ_11,
12,TEXT_KINGKW303_05504_SEQ_12,
13,TEXT_KINGKW303_05504_SEQ_13,
14,TEXT_KINGKW303_05504_SEQ_14,
15,TEXT_KINGKW303_05504_SEQ_15,
16,TEXT_KINGKW303_05504_SEQ_16,
17,TEXT_KINGKW303_05504_SEQ_17,
18,TEXT_KINGKW303_05504_SEQ_18,
19,TEXT_KINGKW303_05504_SEQ_19,
20,TEXT_KINGKW303_05504_SEQ_20,
21,TEXT_KINGKW303_05504_SEQ_21,
22,TEXT_KINGKW303_05504_SEQ_22,
23,TEXT_KINGKW303_05504_SEQ_23,
24,TEXT_KINGKW303_05504_TODO_00,<hex:0208F202CCE3E802E803FF15>獲取<hex:02280BFF05>Item<hex:F2C7210103><hex:FFF202AD>卸下<hex:0208F20262E4E80514FF24><hex:02280BFF05>Item<hex:F2C3700103>與<hex:02100103><hex:02280BFF05>Item<hex:F2C3850103><hex:FFF20235><hex:0208F2022FE4E80515FF0F><hex:02280BFF05>Item<hex:F2C3710103><hex:FFF20217><hex:0208F20211E4E80516FF0F><hex:02280BFF05>Item<hex:F2C3720103><hex:FFF201F9><hex:0208F201F3E4E80517FF0F><hex:02280BFF05>Item<hex:F2C3730103><hex:FFF201DB><hex:0208F201D5E4E80518FF0F><hex:02280BFF05>Item<hex:F2C3740103><hex:FFF201BD><hex:0208F201B7E4E80519FF0F><hex:02280BFF05>Item<hex:F2C3750103><hex:FFF2019F><hex:0208F20199E4E8051AFF0F><hex:02280BFF05>Item<hex:F2C3760103><hex:FFF20181><hex:0208F2017BE4E8051CFF0F><hex:02280BFF05>Item<hex:F2C3770103><hex:FFF20163><hex:0208F2015DE4E8051DFF0F><hex:02280BFF05>Item<hex:F2C3780103><hex:FFF20145><hex:0208F2013FE4E8051FFF0F><hex:02280BFF05>Item<hex:F2C3790103><hex:FFF20127><hex:0208F20121E4E80520FF0F><hex:02280BFF05>Item<hex:F2C37B0103><hex:FFF20109><hex:0208F20103E4E80521FF0F><hex:02280BFF05>Item<hex:F2C37A0103><hex:FFF0EC><hex:0208F0E7E4E80522FF0F><hex:02280BFF05>Item<hex:F2C37C0103><hex:FFF0D0><hex:0208CDE4E80523FF0F><hex:02280BFF05>Item<hex:F2C37D0103><hex:FFB7><hex:0208B3E4E80524FF0F><hex:02280BFF05>Item<hex:F2C37E0103><hex:FF9D><hex:020899E4E80526FF0F><hex:02280BFF05>Item<hex:F2C37F0103><hex:FF83><hex:02087FE4E80527FF0F><hex:02280BFF05>Item<hex:F2C3800103><hex:FF69><hex:020865E4E80528FF0F><hex:02280BFF05>Item<hex:F2C3810103><hex:FF4F><hex:02084BE4E80529FF0F><hex:02280BFF05>Item<hex:F2C3820103><hex:FF35><hex:020831E4E8052AFF0F><hex:02280BFF05>Item<hex:F2C3830103><hex:FF1B><hex:020817E4E8052BFF0F><hex:02280BFF05>Item<hex:F2C3840103><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>放入兵裝庫或背包<hex:02100103>將<hex:02280BFF05>Item<hex:F2C7210103>交給多多庫利<hex:03>
25,TEXT_KINGKW303_05504_TODO_01,
26,TEXT_KINGKW303_05504_TODO_02,
27,TEXT_KINGKW303_05504_TODO_03,
28,TEXT_KINGKW303_05504_TODO_04,
29,TEXT_KINGKW303_05504_TODO_05,
30,TEXT_KINGKW303_05504_TODO_06,
31,TEXT_KINGKW303_05504_TODO_07,
32,TEXT_KINGKW303_05504_TODO_08,
33,TEXT_KINGKW303_05504_TODO_09,
34,TEXT_KINGKW303_05504_TODO_10,
35,TEXT_KINGKW303_05504_TODO_11,
36,TEXT_KINGKW303_05504_TODO_12,
37,TEXT_KINGKW303_05504_TODO_13,
38,TEXT_KINGKW303_05504_TODO_14,
39,TEXT_KINGKW303_05504_TODO_15,
40,TEXT_KINGKW303_05504_TODO_16,
41,TEXT_KINGKW303_05504_TODO_17,
42,TEXT_KINGKW303_05504_TODO_18,
43,TEXT_KINGKW303_05504_TODO_19,
44,TEXT_KINGKW303_05504_TODO_20,
45,TEXT_KINGKW303_05504_TODO_21,
46,TEXT_KINGKW303_05504_TODO_22,
47,TEXT_KINGKW303_05504_TODO_23,
48,TEXT_KINGKW303_05504_GEROLT_000_001,怎麼樣？這個演示足夠展示幻境菜刀的效能了吧！
49,TEXT_KINGKW303_05504_BRIGID_000_005,呵呵，放任火焰繼續燃燒下去雖然也不錯，<hex:02100103>但把周圍一併引燃也不太好，只能暫且滅掉了。
50,TEXT_KINGKW303_05504_SYSTEM_000_010,要接受任務「幻境武器的真容」，<hex:02100103>需持有或裝備上<hex:02280AFF05>Item<hex:E8020103>與<hex:02280AFF05>Item<hex:E8030103>。
51,TEXT_KINGKW303_05504_SYSTEM_000_011,要接受任務「幻境武器的真容」，<hex:02100103>需持有或裝備上<hex:02280AFF05>Item<hex:E8020103>。
52,TEXT_KINGKW303_05504_LYDIRCEIL_000_012,呼，火終於全都熄滅了……<hex:02100103>這下終於能用幻境菜刀切斷幻影，<hex:02100103>讓幻境武器發揮出更多的力量了。
